stop_name,stop_lat,stop_lon,vehicle_type
Selsbakkflata,63.388804,10.365501,700
Siemens,63.403719,10.398836,700
Sigrid Saxedatters veg,63.43334,10.598052,700
Sigurd Jorsalfars veg,63.419254,10.43597,700
Siim,63.388116,10.540666,700
Sildråpevegen,63.415887,10.465159,700
Sivert Thonstads vei,63.35866,10.368473,700
Sjetnhaugan,63.369096,10.396615,700
Sjøla,63.317559,10.401462,700
Sjølyst,63.43774,10.593629,700
Skansen,63.430071,10.373602,700
Skansen,63.429731,10.371861,900
Skaun ungdomsskole,63.324226,10.064721,700
Skavlans veg,63.403116,10.341957,700
Skistua,63.417911,10.261992,700
Skjefstadbakken,63.340658,10.272477,700
Skjetlein,63.340853,10.302132,700
Skjøstad,63.390856,10.161136,700
Skonnertvegen,63.433588,10.508181,700
Skottvoll,63.309158,10.291137,700
Skovgård,63.429427,10.495908,700
Skytterbanen,63.35837,10.343171,700
Skyttervegen,63.360833,10.350832,700
Skårgangen,63.37862,10.365182,700
Sluppen,63.401911,10.395818,700
Sluppenvegen,63.396902,10.396398,700
Solbakken bru,63.396921,10.545435,700
Solbakken skole,63.402123,10.52391,700
Solberg,63.351807,10.310806,700
Solem bru,63.322282,10.508112,700
Sollia,63.399244,10.428297,700
Solsiden,63.433946,10.412788,700
Solunda,63.374474,10.091415,700
Solvollvegen,63.425616,10.458628,700
Sorgenfri,63.407686,10.403809,700
Spillebakken,63.339831,10.578678,700
Spongdal,63.355935,10.166852,700
Spongdal skole,63.355109,10.163003,700
St. Olavs Hospital vest,63.42024,10.386214,700
St. Olavs Hospital øst,63.420757,10.390046,700
St. Olavs gate,63.431051,10.390352,900
Stabells veg,63.402788,10.357793,700
Stav øvre,63.323979,10.294989,700
Stavset,63.38531,10.342889,700
Stavset senter,63.38696,10.329758,700
Stavsetsvingen,63.383873,10.336679,700
Stavsetvegen,63.38933,10.328251,700
Steinan,63.400881,10.445294,700
Steinaunet,63.395653,10.440847,700
Steindalsvegen,63.401157,10.428579,700
Stene,63.361903,10.114347,700
Stibakken,63.433857,10.605202,700
Stokkan,63.4109,10.483419,700
Stokkhaugen,63.410031,10.479468,700
Storsteinan,63.453056,10.257467,700
Storugla,63.333357,10.492263,700
Strandveikaia,63.44269,10.426979,700
Strinda kirke,63.412935,10.444967,700
Strinda vgs.,63.422046,10.427611,700
Strindfjordvegen,63.434843,10.505357,700
Strindheim,63.435185,10.456301,700
Strindheim Hageby,63.42964,10.454508,700
Strindheim skole,63.433561,10.456495,700
Stubbanvegen,63.385265,10.427129,700
Studentersamfundet,63.42279,10.395173,700
Sundet,63.343417,10.243099,700
Svalnestangen,63.327316,10.097184,700
Svartbekken,63.451597,10.224873,700
Sve,63.329509,10.49455,700
Sverresborg,63.417195,10.353694,700
Sæterbakken,63.403221,10.508378,700
Sætran,63.344583,10.467173,700
Søndre Flatåsen,63.376928,10.352308,700
Søndre Hoem,63.403207,10.381654,900
Søndre Risvolltun,63.395638,10.427684,700
Sørberg,63.372667,10.173442,700
Sørborgen,63.303824,10.462495,700
Sørborgen skole,63.305472,10.465878,700
Tanem bru,63.30986,10.454191,700
Tanem gård,63.31356,10.435542,700
Tanemskrysset,63.312641,10.430236,700
Tanemsmoen,63.31037,10.430553,700
Tanemsmovegen,63.308252,10.431159,700
Tangen,63.312182,10.183143,700
Teglverkskrysset,63.41833,10.448025,700
Tempe,63.404822,10.396564,700
Tempevegen 11,63.407804,10.39669,700
Terminalen Heimdal,63.340689,10.356621,700
Thaulowbakken,63.412857,10.382378,700
Tiller bru,63.349256,10.436883,700
Tiller vgs.,63.358058,10.378502,700
Tillerterminalen,63.360065,10.376227,700
Tjønnlia,63.401759,10.50992,700
Tonstadgrenda,63.36186,10.38488,700
Tonstadkrysset,63.370767,10.382265,700
Torgaardssletta,63.328707,10.3643,700
Torgardshaugen,63.322712,10.376418,700
Torgardstrøa,63.330804,10.36784,700
Tors veg,63.404835,10.427112,700
Torvmyra,63.361336,10.391673,700
Torvtaket,63.348614,10.376898,700
Travbanen,63.431489,10.477073,700
Travbanevegen,63.43317,10.471615,700
Trolla,63.451443,10.310548,700
Trollahaugen 10,63.451293,10.300576,700
Trollahaugen 2,63.450257,10.30123,700
Trollahaugen 46,63.451962,10.302676,700
Trollahaugen 64,63.452209,10.30454,700
Trondheim S,63.436035,10.401348,700
Trondheim hovedbrannstasjon,63.399245,10.392889,700
Trondheim hurtigbåtterminal,63.43821,10.399804,700
Trøndelag Folkemuseum,63.421481,10.356717,700
Trøveien,63.302826,10.154143,700
Tunga kretsfengsel,63.421276,10.471113,700
Tungavegen,63.416742,10.313877,700
Tunvegen,63.42411,10.484243,700
Tverregga,63.383385,10.432378,700
Tvetestien,63.417785,10.372038,700
Tyholt,63.427475,10.432574,700
Tyholtveien,63.42678,10.441976,700
Udduvoll bru vest,63.322394,10.265179,700
Udduvoll bru øst,63.324291,10.277844,700
Ugla,63.400433,10.341434,700
Ugla,63.400601,10.343952,900
Ulseth,63.326492,10.482169,700
Utleirmark,63.38966,10.41343,700
Valentinlyst,63.424496,10.440261,700
Valgrindvegen,63.409468,10.402859,700
Valset gård,63.390402,10.558588,700
Valsetbakken,63.387555,10.565819,700
Valøyvegen,63.409505,10.399195,700
Venusvegen,63.392019,10.426082,700
Vestlia endeholdeplass,63.397219,10.440136,700
Vestmarka,63.406467,10.324915,900
Vestre Rosten,63.361427,10.36975,700
Vestre Sætran,63.343988,10.461326,700
Vikelvveien,63.423752,10.541108,700
Vikhammer,63.437196,10.625499,700
Vikhammer skole,63.438376,10.633897,700
Vikhammerløkka,63.438863,10.633937,700
Vikhammeråsen,63.43318,10.629713,700
Vikhammeråsen snuplass,63.431833,10.643105,700
Vikhov,63.440413,10.643415,700
Vikåsen,63.414679,10.530556,700
Vikåsen nedre,63.417095,10.533862,700
Vikåsen skole,63.412659,10.537796,700
Voll studentby,63.40927,10.443923,700
Være,63.430277,10.565436,700
Være Ranheimsvegen,63.430287,10.564248,700
Være østre,63.431734,10.578989,700
Væresbakken,63.430731,10.584568,700
Væresholmen,63.43341,10.575706,700
Væresletta,63.430722,10.570127,700
Værestrøa,63.434001,10.586995,700
Weidemannsveien,63.433131,10.426401,700
Åsheim skole,63.351158,10.343566,700
Åsvang skole,63.411033,10.454634,700
